origin_country,destination_country,course_name,field_of_study,year_of_enrollment,scholarship_received,enrollment_reason,graduation_year,placement_status,placement_country,starting_salary_usd,gpa_or_score,visa_status,post_graduation_visa,language_proficiency_test,test_score,placement_success
5,7,1,4,2023,0,1,2026,0,10,0,3.07,5,1,4,0.0,0
2,0,3,6,2022,1,0,2024,1,0,34218,2.71,0,3,1,5.7,1
5,2,2,1,2019,0,1,2020,1,2,107669,2.71,2,0,2,5.2,1
4,8,9,0,2021,1,1,2023,1,8,142540,3.53,2,4,3,5.7,1
8,9,12,7,2023,0,3,2025,0,10,0,3.25,1,3,4,0.0,0
3,0,2,7,2019,0,2,2020,1,0,127261,3.24,4,2,3,6.4,1
9,6,13,6,2020,1,2,2022,0,10,0,3.99,0,2,3,7.8,0
6,8,2,0,2021,0,0,2024,1,8,55598,3.11,0,3,3,6.3,1
5,1,6,1,2019,0,2,2022,1,1,80641,2.62,2,2,0,5.3,1
4,2,10,3,2020,0,0,2022,1,2,120015,3.53,3,2,3,5.5,1
6,8,10,5,2023,0,2,2024,1,8,57552,3.89,3,3,3,6.8,1
4,1,11,2,2023,1,3,2026,1,1,73613,3.42,0,1,2,6.5,1
9,7,6,2,2021,1,4,2023,0,10,0,2.6,3,0,4,0.0,0
0,5,14,2,2021,0,3,2023,1,5,149425,2.85,1,3,0,5.1,1
3,0,0,2,2019,1,0,2022,1,0,63935,3.22,0,4,4,0.0,1
1,7,6,3,2023,1,0,2025,0,10,0,3.18,5,0,3,6.3,0
0,8,0,2,2022,0,2,2024,1,8,112160,2.53,3,1,2,7.3,1
8,2,5,6,2021,0,1,2024,0,10,0,3.33,5,2,1,7.2,0
2,3,14,5,2023,0,3,2026,1,3,92250,3.09,1,1,0,7.7,1
5,3,1,1,2019,0,1,2020,1,3,106963,2.61,3,0,2,6.0,1
1,8,13,3,2023,1,0,2026,0,10,0,2.65,2,2,0,8.5,0
0,9,1,6,2022,0,1,2024,1,9,57256,3.38,5,2,3,7.4,1
7,8,8,3,2019,0,3,2021,1,8,83047,3.97,0,4,0,6.6,1
4,9,2,4,2020,1,1,2022,0,10,0,3.68,5,1,4,0.0,0
4,9,2,4,2021,1,4,2024,1,9,63774,3.56,3,3,3,7.6,1
5,9,13,1,2021,0,0,2023,0,10,0,3.71,2,3,2,5.6,0
1,7,10,0,2020,1,0,2023,0,10,0,2.77,5,0,3,5.2,0
9,8,5,1,2022,0,2,2023,0,10,0,2.82,2,2,1,6.4,0
1,4,0,0,2022,0,4,2025,0,10,0,2.77,5,3,0,7.7,0
2,5,14,5,2022,0,0,2023,1,5,134172,3.22,3,4,1,7.2,1
8,6,6,3,2019,1,2,2021,0,10,0,3.62,0,1,1,7.2,0
7,6,7,7,2023,0,0,2026,0,10,0,3.24,1,4,4,0.0,0
6,4,14,4,2020,0,1,2022,1,4,122560,2.9,1,2,2,5.1,1
1,9,14,0,2021,0,0,2024,0,10,0,3.01,4,1,1,7.7,0
1,9,4,5,2022,0,3,2023,0,10,0,3.79,1,1,3,5.7,0
5,3,6,0,2021,1,4,2024,0,10,0,3.44,5,1,2,5.7,0
6,2,10,7,2022,0,0,2025,1,2,59168,3.91,0,2,4,0.0,1
8,3,2,3,2023,0,0,2025,0,10,0,3.52,5,1,0,6.6,0
2,1,7,6,2019,1,1,2022,1,1,48942,3.15,0,3,4,0.0,1
1,7,14,6,2020,1,0,2021,1,7,57389,3.37,5,4,1,5.5,1
3,5,14,4,2019,1,4,2022,1,5,45866,3.85,2,3,4,0.0,1
2,8,12,2,2022,0,3,2024,1,8,56343,2.79,2,1,3,8.8,1
8,6,13,2,2022,0,4,2023,1,6,131559,3.29,5,2,2,8.2,1
1,8,13,1,2021,1,2,2024,1,8,140986,3.0,1,3,1,8.2,1
3,9,7,3,2021,0,0,2023,1,9,144597,3.47,1,0,0,5.2,1
3,4,3,2,2022,0,0,2024,1,4,58807,3.36,4,3,1,5.5,1
3,1,14,7,2022,1,2,2024,0,10,0,3.75,1,2,2,5.2,0
1,9,12,6,2022,0,0,2023,1,9,107665,2.88,3,4,2,5.4,1
1,2,10,2,2023,1,4,2026,0,10,0,3.49,1,2,3,5.1,0
1,6,11,0,2021,0,0,2023,0,10,0,3.54,5,3,1,5.3,0
6,4,3,1,2020,0,2,2021,1,4,95555,3.15,0,3,3,9.0,1
1,8,5,1,2020,0,3,2022,1,8,62747,3.03,0,0,2,7.3,1
1,9,6,5,2021,0,3,2022,0,10,0,3.04,0,0,2,7.9,0
9,5,6,4,2022,1,1,2023,1,5,98698,3.81,0,0,3,6.5,1
6,5,14,0,2023,0,1,2025,1,5,119341,2.93,4,0,0,6.1,1
9,7,10,7,2023,1,2,2025,0,10,0,3.95,0,2,4,0.0,0
1,8,10,3,2023,0,1,2026,1,8,118240,3.08,1,3,4,0.0,1
0,5,10,1,2023,1,1,2025,0,10,0,3.21,1,4,2,8.2,0
6,9,7,5,2022,0,0,2023,1,9,118440,3.51,5,1,1,5.2,1
4,5,2,5,2021,1,3,2022,1,5,72279,3.24,5,2,4,0.0,1
2,7,6,7,2022,1,3,2025,0,10,0,3.71,5,3,1,8.0,0
6,5,5,7,2022,0,4,2024,1,5,78980,3.93,2,4,2,8.7,1
1,4,8,3,2022,1,4,2024,1,4,145270,2.88,1,4,3,7.2,1
7,6,0,1,2019,0,1,2021,1,6,49023,3.05,4,4,4,0.0,1
2,3,6,7,2021,0,0,2022,0,10,0,2.7,0,3,3,8.2,0
7,3,0,1,2019,0,4,2020,0,10,0,3.48,3,3,3,6.4,0
9,7,8,0,2021,1,1,2023,1,7,35945,2.85,1,3,3,5.9,1
4,8,11,5,2021,1,1,2024,1,8,84436,3.76,4,4,0,7.9,1
4,9,3,1,2023,0,3,2024,1,9,106776,2.88,3,0,2,8.3,1
3,2,5,1,2023,1,0,2024,0,10,0,2.75,0,0,0,8.5,0
4,9,0,2,2022,1,1,2025,1,9,103698,2.63,1,1,1,7.1,1
3,8,10,2,2021,1,2,2022,1,8,111966,2.86,2,0,4,0.0,1
4,2,3,1,2023,1,4,2024,0,10,0,3.33,3,2,4,0.0,0
9,0,5,5,2022,1,0,2025,1,0,114986,2.67,5,2,4,0.0,1
1,3,3,6,2021,1,2,2022,1,3,86902,2.97,4,3,0,7.7,1
4,5,0,0,2019,0,2,2020,1,5,109316,3.1,3,2,2,7.5,1
3,7,10,5,2020,0,4,2021,1,7,117772,2.55,5,3,3,5.7,1
9,3,13,7,2020,1,3,2021,0,10,0,3.86,5,0,3,7.4,0
4,7,13,7,2019,1,1,2022,1,7,136531,3.63,2,3,1,5.9,1
0,3,3,1,2022,1,3,2024,1,3,60042,2.55,0,2,3,8.4,1
9,3,0,4,2022,1,4,2023,1,3,110655,2.83,1,0,4,0.0,1
5,7,13,7,2019,0,1,2021,1,7,44783,3.72,1,2,1,7.8,1
8,3,11,1,2023,1,0,2025,1,3,91543,3.07,0,4,0,6.2,1
0,7,0,4,2020,0,2,2023,0,10,0,2.55,0,1,0,8.9,0
5,7,6,5,2020,1,2,2021,0,10,0,2.78,5,3,3,5.4,0
5,4,13,4,2022,1,3,2025,1,4,31249,2.57,0,3,1,8.6,1
2,0,0,7,2021,0,2,2023,0,10,0,2.91,5,2,0,8.4,0
2,6,0,2,2020,1,1,2023,0,10,0,2.94,1,4,0,6.7,0
1,9,11,0,2023,1,1,2026,0,10,0,3.91,1,4,3,7.9,0
0,7,6,5,2023,1,0,2024,1,7,123153,3.62,2,0,3,7.8,1
8,6,10,2,2021,0,3,2024,1,6,54951,2.54,3,2,4,0.0,1
0,8,7,4,2022,0,1,2023,0,10,0,3.18,3,4,2,6.3,0
2,7,14,0,2020,0,3,2021,0,10,0,3.18,0,4,1,8.5,0
2,8,3,7,2019,0,0,2020,0,10,0,2.98,4,3,4,0.0,0
7,8,10,6,2023,1,0,2024,0,10,0,3.48,5,1,3,5.3,0
8,9,7,4,2021,1,3,2022,0,10,0,3.06,5,2,3,6.6,0
9,7,9,1,2022,0,1,2024,0,10,0,3.29,0,2,1,7.3,0
6,8,5,1,2023,1,4,2026,0,10,0,3.81,2,0,0,7.3,0
3,2,1,0,2023,1,2,2024,0,10,0,3.38,2,3,0,8.4,0
9,0,3,1,2021,1,4,2022,1,0,121266,2.76,1,3,2,7.4,1
5,1,9,5,2019,0,4,2021,0,10,0,3.17,5,3,4,0.0,0
7,1,12,6,2021,0,0,2022,1,1,36885,3.45,5,2,2,8.9,1
0,5,5,4,2023,0,2,2026,0,10,0,3.23,5,1,2,6.1,0
8,1,0,6,2021,1,1,2023,0,10,0,2.72,5,1,3,6.3,0
6,7,2,2,2021,1,1,2024,0,10,0,3.25,5,4,1,8.4,0
4,7,0,2,2023,1,4,2025,1,7,31281,3.29,1,4,4,0.0,1
2,1,11,7,2019,0,2,2020,1,1,136785,2.97,2,4,2,8.4,1
1,4,14,5,2021,1,4,2024,0,10,0,2.53,0,2,2,6.9,0
8,5,7,3,2023,1,2,2025,1,5,120800,3.73,2,2,2,6.2,1
3,0,5,3,2023,0,3,2024,1,0,36428,3.28,5,1,1,6.8,1
1,4,9,3,2023,0,1,2026,1,4,53132,3.68,5,4,3,7.2,1
8,3,4,6,2022,1,3,2024,0,10,0,3.34,1,0,0,6.3,0
7,3,7,5,2022,1,4,2024,0,10,0,3.78,3,0,2,6.8,0
1,7,6,7,2021,1,4,2024,1,7,78426,3.6,4,0,4,0.0,1
3,4,12,7,2023,0,3,2025,1,4,86647,3.19,1,2,2,6.7,1
5,2,11,7,2023,0,1,2025,0,10,0,3.17,1,1,3,6.0,0
2,7,3,1,2023,0,4,2026,0,10,0,2.74,0,3,3,8.7,0
4,5,0,1,2019,0,0,2020,1,5,78491,3.89,5,4,4,0.0,1
7,3,9,1,2020,0,2,2022,1,3,137518,3.72,1,4,4,0.0,1
8,2,14,0,2022,0,2,2025,0,10,0,2.74,3,3,3,5.4,0
5,3,5,3,2023,1,2,2026,0,10,0,3.4,1,0,0,8.8,0
2,6,11,5,2019,0,4,2020,0,10,0,3.66,0,0,1,5.9,0
5,3,4,2,2021,0,2,2024,0,10,0,2.96,4,0,1,8.1,0
0,4,13,0,2021,0,2,2024,0,10,0,3.78,4,4,4,0.0,0
4,6,14,1,2023,0,2,2025,1,6,106677,3.3,4,2,3,8.6,1
0,5,6,4,2019,1,4,2020,1,5,70590,2.98,5,2,2,8.8,1
7,4,7,3,2020,0,0,2022,0,10,0,3.13,5,1,0,7.5,0
2,6,8,5,2021,1,1,2022,1,6,59895,2.73,5,2,2,5.0,1
0,5,6,7,2019,1,0,2022,1,5,111110,3.56,2,0,1,6.1,1
9,6,0,7,2022,1,2,2025,0,10,0,3.05,3,4,3,8.2,0
3,6,14,4,2021,1,1,2023,1,6,82378,3.89,1,0,0,8.4,1
9,7,7,4,2020,1,0,2021,0,10,0,2.72,3,1,2,8.8,0
3,1,8,4,2022,1,4,2024,1,1,119217,3.13,4,2,3,7.8,1
2,5,5,5,2021,1,3,2023,1,5,101970,2.85,3,3,1,6.2,1
2,9,3,4,2020,0,2,2021,1,9,52941,3.76,0,0,0,6.6,1
5,7,0,3,2021,0,0,2023,1,7,34281,3.85,5,1,4,0.0,1
8,3,14,2,2023,1,1,2025,1,3,123933,3.65,2,2,3,7.4,1
4,7,3,5,2023,1,2,2024,1,7,71321,3.91,0,0,4,0.0,1
3,2,7,2,2022,0,1,2024,0,10,0,3.02,4,0,2,7.1,0
7,0,8,5,2023,0,1,2025,0,10,0,2.81,1,1,4,0.0,0
2,0,0,0,2020,1,0,2021,1,0,30790,3.85,5,2,4,0.0,1
7,3,4,0,2020,1,1,2022,1,3,142669,3.14,3,3,2,7.2,1
2,7,0,1,2020,1,4,2022,0,10,0,3.36,3,1,4,0.0,0
5,2,2,1,2023,0,4,2024,1,2,68782,3.11,5,1,2,6.1,1
3,8,1,5,2020,1,4,2021,0,10,0,3.27,4,0,0,6.8,0
6,8,9,1,2021,1,4,2024,0,10,0,3.36,1,1,3,5.9,0
3,9,11,2,2023,1,0,2025,1,9,38409,3.95,2,3,4,0.0,1
9,0,4,6,2019,0,3,2022,1,0,99130,3.82,1,4,2,8.7,1
0,4,8,0,2021,1,0,2022,1,4,39426,3.43,5,0,3,6.9,1
2,9,8,6,2019,1,2,2021,1,9,61605,2.94,5,2,1,5.2,1
5,8,4,4,2019,1,4,2021,1,8,98946,2.64,1,3,0,8.7,1
1,4,7,6,2019,1,2,2021,1,4,30390,3.35,5,0,4,0.0,1
8,0,9,7,2021,1,0,2022,1,0,123403,3.31,2,2,2,8.3,1
5,7,13,2,2019,0,3,2021,0,10,0,3.19,2,3,4,0.0,0
2,6,4,2,2022,0,0,2023,1,6,67651,2.59,3,4,3,5.7,1
6,8,9,1,2023,1,2,2025,1,8,41415,3.37,0,0,1,5.8,1
1,2,11,0,2023,0,0,2024,1,2,46852,3.11,2,1,4,0.0,1
3,1,2,6,2023,0,2,2024,0,10,0,3.59,5,0,0,8.7,0
7,6,4,4,2019,0,3,2021,0,10,0,3.42,3,1,0,8.0,0
4,0,10,0,2019,0,1,2022,0,10,0,3.92,5,1,3,6.3,0
4,9,3,2,2021,1,1,2024,0,10,0,2.51,1,0,2,7.6,0
4,5,10,0,2022,1,4,2023,1,5,142343,3.48,3,0,4,0.0,1
1,0,0,5,2020,0,0,2021,1,0,38506,3.78,1,0,1,6.3,1
9,2,5,4,2020,1,4,2021,1,2,43113,3.64,3,3,1,7.6,1
9,3,4,2,2023,0,2,2025,0,10,0,3.39,3,3,0,6.2,0
0,9,11,0,2022,1,4,2024,0,10,0,3.77,3,2,4,0.0,0
9,3,3,2,2019,0,1,2021,0,10,0,3.19,5,3,0,5.8,0
1,8,9,4,2021,1,4,2022,0,10,0,2.62,4,4,2,8.5,0
9,0,13,1,2021,0,4,2022,0,10,0,3.19,2,3,2,8.5,0
4,1,1,3,2022,0,0,2023,1,1,105060,3.14,2,2,3,5.2,1
0,5,11,3,2021,0,2,2023,1,5,85176,3.26,2,4,1,5.0,1
4,6,0,0,2023,1,0,2025,1,6,55499,3.26,4,4,4,0.0,1
7,2,10,6,2023,0,2,2026,0,10,0,2.91,1,2,0,5.1,0
4,5,6,0,2021,0,3,2024,0,10,0,3.99,1,4,0,7.4,0
7,5,4,6,2021,1,4,2023,0,10,0,3.6,3,0,1,6.8,0
0,1,7,0,2019,1,1,2020,0,10,0,3.99,4,0,2,5.2,0
8,3,11,6,2022,1,2,2025,1,3,123519,3.05,0,0,4,0.0,1
3,2,4,4,2022,0,1,2023,1,2,98955,3.67,1,2,1,7.9,1
7,0,9,2,2019,0,3,2020,0,10,0,3.48,0,2,2,8.5,0
5,6,4,2,2021,0,3,2023,0,10,0,3.54,5,4,3,6.8,0
2,9,0,6,2023,1,2,2024,0,10,0,2.9,5,2,2,8.7,0
2,6,1,1,2020,1,2,2021,1,6,46252,2.98,4,1,0,5.6,1
9,7,10,7,2020,0,1,2023,0,10,0,3.66,2,2,3,5.9,0
8,7,1,5,2020,0,0,2021,1,7,46878,2.54,5,2,0,7.1,1
6,0,6,2,2023,0,2,2026,1,0,135993,2.7,3,1,1,5.8,1
6,8,8,4,2021,0,0,2024,1,8,67612,3.3,2,4,2,8.5,1
6,9,0,3,2020,1,1,2023,0,10,0,2.71,3,4,2,6.9,0
5,4,4,4,2019,1,3,2021,0,10,0,3.09,3,0,3,6.9,0
6,1,12,1,2023,1,0,2024,1,1,108501,2.96,5,4,4,0.0,1
6,3,12,6,2021,1,3,2023,0,10,0,3.4,3,4,1,6.8,0
9,5,5,6,2023,1,2,2025,1,5,43650,2.54,2,4,3,5.6,1
1,9,9,4,2023,0,1,2026,0,10,0,2.88,0,4,4,0.0,0
5,4,12,2,2020,0,0,2021,0,10,0,2.98,5,4,1,6.2,0
6,1,13,0,2022,1,4,2025,1,1,57526,3.0,2,1,4,0.0,1
0,1,13,3,2020,0,3,2023,1,1,73509,3.53,2,4,0,8.6,1
2,0,10,6,2020,0,1,2022,0,10,0,3.15,0,1,3,6.6,0
0,2,14,3,2022,0,0,2024,1,2,130401,3.71,0,1,3,6.5,1
6,5,0,0,2021,1,0,2023,0,10,0,3.88,3,3,1,7.1,0
5,7,11,6,2022,0,3,2023,1,7,31887,2.88,1,4,2,6.5,1
7,0,12,3,2021,0,0,2023,0,10,0,2.73,3,3,0,8.0,0
0,9,3,4,2023,1,0,2025,1,9,141692,3.44,3,2,4,0.0,1
8,6,3,7,2021,0,1,2023,0,10,0,3.81,2,2,0,5.2,0
3,9,10,6,2022,1,2,2023,0,10,0,3.0,2,0,3,5.6,0
8,1,7,0,2019,0,0,2020,1,1,40728,3.81,0,2,1,6.6,1
9,4,10,5,2021,0,0,2024,0,10,0,3.24,1,4,0,7.1,0
6,0,12,1,2019,0,4,2022,1,0,126927,3.99,4,1,3,5.2,1
6,4,13,5,2023,0,3,2024,1,4,88149,2.86,3,1,3,6.7,1
8,5,14,2,2020,1,2,2023,1,5,113412,3.33,5,3,1,5.6,1
5,8,0,0,2020,1,1,2022,1,8,127952,2.82,4,2,4,0.0,1
2,8,12,1,2022,1,1,2024,0,10,0,3.83,0,2,0,7.5,0
3,8,8,5,2020,0,4,2023,1,8,54853,2.54,4,0,2,7.3,1
9,6,5,7,2023,0,4,2026,1,6,130354,2.75,0,1,4,0.0,1
8,9,6,6,2023,0,1,2026,1,9,84717,3.66,0,4,3,8.6,1
1,5,3,6,2022,0,2,2024,0,10,0,2.51,1,3,1,5.1,0
6,4,3,3,2019,1,3,2020,0,10,0,3.64,3,1,4,0.0,0
4,6,3,4,2019,1,3,2020,1,6,84646,2.74,1,4,2,5.1,1
2,7,8,4,2019,1,3,2020,1,7,93425,2.98,1,3,3,7.7,1
9,1,12,7,2020,1,0,2021,1,1,39151,3.38,5,1,0,7.6,1
9,8,14,0,2020,1,2,2021,1,8,32335,2.54,4,1,1,8.9,1
1,4,12,1,2023,0,2,2026,0,10,0,3.1,5,1,4,0.0,0
5,1,0,1,2022,1,0,2025,0,10,0,3.19,5,0,1,8.3,0
9,3,12,6,2022,0,2,2024,0,10,0,3.08,3,2,4,0.0,0
3,6,6,3,2019,1,2,2020,0,10,0,3.46,0,0,2,7.3,0
3,5,2,2,2019,0,4,2021,0,10,0,3.68,1,0,1,5.4,0
3,2,3,0,2021,1,4,2024,0,10,0,2.87,2,1,3,5.6,0
1,0,3,1,2022,1,0,2023,0,10,0,4.0,1,2,0,8.6,0
7,0,14,2,2021,1,3,2022,0,10,0,2.73,0,3,3,6.7,0
4,6,13,3,2023,0,1,2025,0,10,0,3.87,4,2,1,8.5,0
2,8,12,6,2023,0,2,2024,1,8,77867,3.51,2,1,2,7.2,1
7,8,3,6,2020,1,3,2022,0,10,0,3.14,5,2,4,0.0,0
3,2,4,7,2021,1,2,2023,0,10,0,3.87,1,4,0,7.6,0
8,2,14,5,2021,0,1,2024,0,10,0,2.55,4,1,2,5.5,0
4,6,13,2,2020,1,2,2022,0,10,0,3.22,5,3,2,8.7,0
4,8,4,5,2021,1,1,2023,0,10,0,2.62,5,0,0,6.1,0
6,5,6,1,2019,0,0,2021,1,5,51963,3.57,3,3,4,0.0,1
7,1,14,2,2019,1,4,2020,1,1,146369,2.95,4,3,4,0.0,1
1,2,7,4,2019,1,2,2020,0,10,0,3.57,0,3,4,0.0,0
2,0,13,0,2020,0,0,2023,0,10,0,2.68,3,2,1,8.8,0
2,3,12,5,2020,0,4,2021,0,10,0,3.43,0,3,0,8.1,0
4,6,14,5,2019,0,1,2021,0,10,0,3.23,3,2,4,0.0,0
3,2,11,7,2023,1,3,2026,0,10,0,3.8,0,0,1,7.7,0
9,5,8,5,2022,1,4,2024,0,10,0,3.97,1,4,1,8.9,0
3,7,6,4,2023,1,3,2024,1,7,107536,3.93,1,1,3,8.7,1
6,1,1,3,2022,0,3,2023,1,1,46924,2.5,3,4,4,0.0,1
6,0,13,0,2023,0,2,2025,1,0,72642,3.83,1,3,1,5.5,1
6,7,5,1,2019,1,4,2022,1,7,67161,2.71,0,1,0,5.7,1
5,7,8,2,2021,1,2,2022,0,10,0,3.82,5,0,2,7.2,0
3,1,10,0,2020,1,0,2022,0,10,0,3.13,4,2,1,8.0,0
5,4,3,6,2022,0,3,2024,1,4,87261,2.77,3,2,0,8.4,1
3,5,3,3,2019,1,1,2020,0,10,0,3.33,4,3,1,7.5,0
4,7,6,3,2019,0,1,2020,1,7,59500,2.71,3,0,1,8.2,1
4,3,5,0,2021,1,1,2022,1,3,46198,3.15,0,3,0,5.5,1
1,7,9,1,2023,0,4,2025,1,7,52719,3.98,2,0,0,8.3,1
4,8,8,4,2021,1,4,2023,1,8,52361,3.08,4,4,1,6.5,1
0,2,5,3,2020,0,0,2022,1,2,134632,3.27,2,1,2,8.9,1
7,3,0,3,2022,1,0,2025,0,10,0,3.99,2,4,0,7.4,0
6,3,8,2,2022,0,4,2025,0,10,0,2.76,5,4,0,7.3,0
0,9,6,2,2021,0,4,2023,0,10,0,2.86,2,0,3,5.5,0
1,2,8,6,2019,1,2,2021,0,10,0,2.7,0,3,2,5.2,0
8,7,14,7,2019,0,0,2022,0,10,0,2.99,3,1,2,6.2,0
5,8,9,6,2020,0,0,2021,1,8,77026,2.6,1,0,0,6.7,1
7,3,12,5,2020,0,3,2023,1,3,128933,3.01,3,2,0,5.1,1
8,2,1,0,2020,1,0,2021,0,10,0,3.27,2,0,3,5.2,0
9,4,8,4,2023,1,2,2024,0,10,0,2.97,4,1,0,5.1,0
2,6,13,2,2023,0,1,2026,1,6,120286,2.51,2,0,1,6.6,1
5,1,0,1,2022,1,1,2023,1,1,61520,3.96,4,4,4,0.0,1
5,0,4,4,2022,0,0,2024,0,10,0,3.53,4,0,3,5.5,0
7,1,0,4,2022,1,4,2023,1,1,121413,3.33,5,0,3,5.5,1
7,8,14,4,2021,0,2,2023,0,10,0,3.16,2,4,4,0.0,0
0,2,6,7,2019,0,2,2022,1,2,33840,3.59,5,2,4,0.0,1
5,8,5,2,2023,0,0,2025,0,10,0,2.98,4,2,3,7.5,0
7,9,5,6,2022,1,1,2023,1,9,136625,3.68,4,0,1,5.1,1
6,4,8,7,2019,1,2,2021,1,4,78608,2.64,0,2,4,0.0,1
9,8,6,7,2019,0,4,2021,1,8,92759,3.63,4,0,1,7.8,1
5,7,7,1,2021,0,2,2024,1,7,66917,3.97,2,2,1,5.2,1
3,0,11,7,2019,0,0,2022,0,10,0,3.85,1,2,1,5.8,0
9,1,0,6,2020,0,1,2021,0,10,0,2.84,4,1,0,5.6,0
7,8,9,1,2019,1,2,2022,0,10,0,3.28,1,2,0,6.5,0
